Ticker,Sector,Industry,Full Time Emp
AAOI,Technology,Semiconductors,3115
AAON,Industrials,Building Products & Equipment,2290
AAT,Real Estate,REIT-Diversified,199
AAWW,Industrials,Airports & Air Services,3587
ABCB,Financial Services,Banks-Regional,2656
ABG,Consumer Cyclical,Auto & Truck Dealerships,8500
ABM,Industrials,Specialty Business Services,140000
ABTX,Financial Services,Banks-Regional,598
ACA,Industrials,Infrastructure Operations,6275
ACLS,Technology,Semiconductor Equipment & Materials,960
ADC,Real Estate,REIT-Retail,41
ADTN,Technology,Communication Equipment,1790
ADUS,Healthcare,Medical Care Facilities,5002
AEGN,Industrials,Engineering & Construction,4900
AEIS,Industrials,Electrical Equipment & Parts,10917
AEL,Financial Services,Insurance-Life,608
AGO,Financial Services,Insurance-Specialty,441
AGYS,Technology,Software-Application,1275
AHH,Real Estate,REIT-Diversified,169
AIN,Consumer Cyclical,Textile Manufacturing,4000
AIR,Industrials,Aerospace & Defense,4200
AIT,Industrials,Industrial Distribution,6141
AJRD,Industrials,Aerospace & Defense,4814
AKR,Real Estate,REIT-Retail,118
ALEX,Real Estate,REIT-Diversified,793
ALG,Industrials,Farm & Heavy Construction Machinery,4270
ALGT,Industrials,Airlines,4275
ALRM,Technology,Software-Application,1361
AMBC,Financial Services,Insurance-Specialty,103
AMCX,Communication Services,Broadcasting,2114
AMN,Healthcare,Medical Care Facilities,3236
AMPH,Healthcare,Drug Manufacturers-Specialty & Generic,2027
AMSF,Financial Services,Insurance-Specialty,431
AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9900
ANDE,Consumer Defensive,Food Distribution,2247
ANF,Consumer Cyclical,Apparel Retail,8000
ANGO,Healthcare,Medical Instruments & Supplies,800
ANIK,Healthcare,Biotechnology,154
ANIP,Healthcare,Drug Manufacturers-Specialty & Generic,338
APEI,Consumer Defensive,Education & Training Services,1410
APOG,Industrials,Building Products & Equipment,7200
ARCB,Industrials,Trucking,13000
ARI,Real Estate,REIT-Mortgage,0
ARLO,Industrials,Security & Protection Services,358
ARNC,Industrials,Specialty Industrial Machinery,15400
AROC,Energy,Oil & Gas Equipment & Services,1700
ARR,Real Estate,REIT-Mortgage,0
ASIX,Basic Materials,Chemicals,1520
ASTE,Industrials,Farm & Heavy Construction Machinery,3582
ATI,Industrials,Metal Fabrication,8100
ATNI,Communication Services,Telecom Services,1700
AVA,Utilities,Utilities-Diversified,1920
AVAV,Industrials,Aerospace & Defense,823
AVD,Basic Materials,Agricultural Inputs,671
AWR,Utilities,Utilities-Regulated Water,841
AX,Financial Services,Banks-Regional,1108
AXL,Consumer Cyclical,Auto Parts,20000
AZZ,Industrials,Electrical Equipment & Parts,4343
B,Industrials,Specialty Industrial Machinery,5749
BANC,Financial Services,Banks-Regional,600
BANF,Financial Services,Banks-Regional,1948
BANR,Financial Services,Banks-Regional,2198
BBBY,Consumer Cyclical,Specialty Retail,55000
BCC,Basic Materials,Lumber & Wood Production,5900
BCEI,Energy,Oil & Gas E&P,125
BCOR,Financial Services,Asset Management,690
BCPC,Basic Materials,Specialty Chemicals,1341
BDN,Real Estate,REIT-Office,337
BEAT,Healthcare,Diagnostics & Research,1700
BELFB,Technology,Electronic Components,6935
BFS,Real Estate,REIT-Retail,116
BGS,Consumer Defensive,Packaged Foods,2952
BHE,Technology,Electronic Components,10600
BHLB,Financial Services,Banks-Regional,1507
BIG,Consumer Defensive,Discount Stores,10500
BJRI,Consumer Cyclical,Restaurants,22725
BKE,Consumer Cyclical,Apparel Retail,2800
BKU,Financial Services,Banks-Regional,1493
BLMN,Consumer Cyclical,Restaurants,94000
BMI,Industrials,Electrical Equipment & Parts,1567
BNED,Consumer Cyclical,Specialty Retail,3400
BOOM,Energy,Oil & Gas Equipment & Services,741
BOOT,Consumer Cyclical,Apparel Retail,1100
BPFH,Financial Services,Banks-Regional,779
BRC,Industrials,Security & Protection Services,5400
BRKL,Financial Services,Banks-Regional,763
BRKS,Technology,Semiconductor Equipment & Materials,3159
BSIG,Financial Services,Asset Management,54
