,Rank A: Real-Time Performance,Rank B: Day Performance,Rank C: Day Performance,Rank D: Month Performance,Rank E: Month Performance,Rank F: Year-to-Date (YTD) Performance,Rank G: Year Performance,Rank H: Year Performance,Rank I: Year Performance,Rank J: Year Performance
Consumer Discretionary,0.0069,0.0105,0.005699999999999999,0.0274,0.0611,0.2966,0.3274,0.6467,1.0615999999999999,3.3581
Information Technology,0.0062,0.0161,-0.0004,0.045700000000000005,0.09949999999999999,0.38189999999999996,0.42100000000000004,1.0118,2.0743,4.5129
Energy,0.0006,0.0192,0.0034999999999999996,0.1834,0.2291,-0.34009999999999996,-0.3175,-0.4086,-0.3257,-0.3868
Consumer Staples,0.0003,0.0023,-0.0070999999999999995,-0.0048,0.0366,0.06570000000000001,0.0753,0.185,0.35229999999999995,1.2878999999999998
Health Care,-0.001,0.010700000000000001,-0.0063,-0.0026,0.0564,0.0958,0.1189,0.35840000000000005,0.5974,2.5664
Communication Services,-0.0013,0.006999999999999999,-0.0024,0.0394,0.1188,0.21969999999999998,0.24280000000000002,0.3619,0.5122,0.74
Financials,-0.0019,0.0168,-0.0058,0.0564,0.1421,-0.0739,-0.067,0.0339,0.5012,1.2615
Real Estate,-0.003,0.0173,-0.0063,-0.026600000000000002,0.004,-0.059500000000000004,-0.0245,0.10039999999999999,,
Materials,-0.0039000000000000003,0.018799999999999997,-0.0062,0.030699999999999998,0.07919999999999999,0.1573,0.1827,0.21170000000000003,0.6453,0.9317
Industrials,-0.0066,0.0137,-0.0039000000000000003,0.0348,0.13,0.08869999999999999,0.0909,0.1968,0.6325,1.517
Utilities,-0.0083,0.0194,0.0077,-0.048499999999999995,0.0574,-0.0298,-0.0032,0.1431,0.5073,1.0189
