index,index,1. open,2. high,3. low,4. close,5. volume,Ticker
0,12/14/2020,21.7,22.11,16.58,17.98,22964628,AAN
0,12/14/2020,21.7,22.11,16.58,17.98,22964628,AAN
0,12/14/2020,8.33,8.53,7.62,7.93,5825954,AAOI
1,11/30/2020,8.82,10.2,7.2,8.31,17670623,AAOI
2,10/30/2020,11.4,11.94,8.469,8.78,8911887,AAOI
3,9/30/2020,11.63,12.68,9.58,11.25,13276855,AAOI
4,8/31/2020,14.41,17.57,11.39,11.63,26906725,AAOI
5,7/31/2020,10.67,15.13,9.9,14.21,23662147,AAOI
6,6/30/2020,8.82,11.17,8.56,10.87,14964539,AAOI
7,5/29/2020,10.38,12.5629,8.09,8.83,15611653,AAOI
8,4/30/2020,7.34,11.45,7.06,10.72,13072728,AAOI
9,3/31/2020,8.95,9.61,5,7.59,19827118,AAOI
10,2/28/2020,11.43,12.89,8.54,8.93,16380080,AAOI
11,1/31/2020,12.13,15.98,11.2,11.3,19152514,AAOI
12,12/31/2019,10.81,12.06,10.16,11.88,10634846,AAOI
13,11/29/2019,9.07,12.58,9.035,10.7,19417898,AAOI
14,10/31/2019,11.28,11.385,9.16,9.36,9775085,AAOI
15,9/30/2019,8.77,11.85,8.64,11.22,10724202,AAOI
16,8/30/2019,10.02,11,8.34,8.9,13003710,AAOI
17,7/31/2019,10.7,11.18,8.98,10.01,14101303,AAOI
18,6/28/2019,8.65,11.4,8.56,10.28,12325156,AAOI
19,5/31/2019,12.59,12.78,8.63,8.66,15933412,AAOI
20,4/30/2019,12.31,13.24,11.9,12.52,12009071,AAOI
21,3/29/2019,13.63,14.77,11.77,12.2,20275735,AAOI
22,2/28/2019,17.37,18.04,12.9001,13.5,26874575,AAOI
23,1/31/2019,15,17.86,14.8501,17.38,11286732,AAOI
24,12/31/2018,21.12,21.92,13.42,15.43,16272005,AAOI
25,11/30/2018,18.67,23.38,17.95,20.59,23006186,AAOI
26,10/31/2018,25.37,25.86,19.07,19.63,25110127,AAOI
27,9/28/2018,41.27,41.27,23.8,24.66,31295523,AAOI
28,8/31/2018,38.18,46,35.56,41.36,28151734,AAOI
29,7/31/2018,44.55,50.3,37.22,38.43,25743651,AAOI
30,6/29/2018,46.87,49.75,40.0183,44.9,27889049,AAOI
31,5/31/2018,31.64,46.79,30.1,46.77,29532214,AAOI
32,4/30/2018,24.87,34.52,22.54,31.96,28922002,AAOI
33,3/29/2018,27.9,31.9699,23.51,25.06,29132880,AAOI
34,2/28/2018,32.5,34.98,26.11,27.93,34280880,AAOI
35,1/31/2018,37.8,39.1701,32.12,32.39,25257259,AAOI
36,12/29/2017,43.21,44.2,37.36,37.82,22456647,AAOI
37,11/30/2017,40.41,46.6,36.7,43.66,41787884,AAOI
38,10/31/2017,64.36,65.75,37.27,40.74,51894479,AAOI
39,9/29/2017,59.25,71.29,55.13,64.67,48266424,AAOI
40,8/31/2017,97.66,101.3,58.82,59.12,91368608,AAOI
41,7/31/2017,62.41,103.41,59.15,97.49,80914627,AAOI
42,6/30/2017,70.05,75.59,57.55,61.79,63415281,AAOI
43,5/31/2017,50.25,72.95,45.01,69.82,80980913,AAOI
44,4/28/2017,56.92,57.9,40.28,49.39,62845429,AAOI
45,3/31/2017,46.42,60.19,45.898,56.15,38694822,AAOI
46,2/28/2017,31.3,49.34,30.444,45.92,19473509,AAOI
47,1/31/2017,23.71,32.56,21.88,30.76,14280993,AAOI
48,12/30/2016,24.79,26.26,22.9035,23.44,6505452,AAOI
49,11/30/2016,19.25,27.28,18.85,24.77,11982140,AAOI
50,10/31/2016,22,24.18,19.15,19.23,5934820,AAOI
51,9/30/2016,16.94,22.47,16.64,22.21,11547534,AAOI
52,8/31/2016,11.75,17.25,11.6,16.85,10168984,AAOI
53,7/29/2016,11.1,13.52,10.34,11.84,4711467,AAOI
54,6/30/2016,10.5,11.64,9.07,11.15,8064889,AAOI
55,5/31/2016,11.21,11.37,8.08,10.55,11260391,AAOI
56,4/29/2016,14.72,16.48,10.65,11.2,12475217,AAOI
57,3/31/2016,18.17,18.79,14.64,14.91,5570325,AAOI
58,2/29/2016,15.9,18.96,13.83,17.99,6165887,AAOI
59,1/29/2016,16.96,17.1,11.34,16.37,6333952,AAOI
60,12/31/2015,18.78,18.9,16.5,17.16,4937990,AAOI
61,11/30/2015,20.62,21.18,15.73,18.75,9737644,AAOI
62,10/30/2015,18.74,21.59,17.16,20.62,6805880,AAOI
63,9/30/2015,20.13,22.4,16.67,18.78,7070320,AAOI
64,8/31/2015,19.59,22.79,17.99,20.61,12157989,AAOI
65,7/31/2015,17.59,20.93,15.54,19.45,7479523,AAOI
66,6/30/2015,17.79,19.99,17.05,17.36,6516782,AAOI
67,5/29/2015,14.09,19.35,13.21,17.86,6578040,AAOI
68,4/30/2015,13.83,15.47,12.75,14.28,4958807,AAOI
69,3/31/2015,12.5,14.46,11.87,13.88,5387569,AAOI
70,2/27/2015,8.97,12.66,8.63,12.48,5020696,AAOI
71,1/30/2015,11.28,11.28,8.17,8.94,4605748,AAOI
72,12/31/2014,10.8,11.48,9.26,11.22,6991999,AAOI
73,11/28/2014,16.1,16.6603,10.75,10.85,10816315,AAOI
74,10/31/2014,16.01,16.19,12.12,16.14,6651054,AAOI
75,9/30/2014,21.2,21.2,15.61,16.1,4536853,AAOI
76,8/29/2014,17.98,22.26,16.83,21.24,5480800,AAOI
77,7/31/2014,23.23,24.1,17.99,18,4255800,AAOI
78,6/30/2014,21.36,24.18,19.7,23.2,5743400,AAOI
79,5/30/2014,22.56,22.57,15.52,21.41,4910300,AAOI
80,4/30/2014,24.55,24.58,20,22.5,5148900,AAOI
81,3/31/2014,22.88,28.014,22.01,24.67,5738400,AAOI
82,2/28/2014,13.7,24.96,11.19,23.66,2740478,AAOI
83,1/31/2014,14.88,14.92,13,13.63,1077600,AAOI
