Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
Aaron's Company Inc,AAN,00258W10,BLFGN99,0.070124,Consumer Discretionary,51008,USD
Applied Optoelectronics Inc.,AAOI,03823U10,BDW0D09,0.018457,Information Technology,30658,USD
AAON Inc.,AAON,36020,2268130,0.303639,Industrials,62025,USD
American Assets Trust Inc.,AAT,2401310,B3NTLD4,0.171299,Real Estate,76242,USD
Atlas Air Worldwide Holdings Inc.,AAWW,4916420,B01Z8P4,0.171077,Industrials,39926,USD
Ameris Bancorp,ABCB,03076K10,2038849,0.309592,Financials,106074,USD
Asbury Automotive Group Inc.,ABG,4343610,2855855,0.326151,Consumer Discretionary,29308,USD
ABM Industries Incorporated,ABM,95710,2024901,0.316597,Industrials,101462,USD
Allegiance Bancshares Inc.,ABTX,01748H10,BYV3856,0.075748,Financials,28507,USD
Arcosa Inc.,ACA,3965310,BGPZ5W8,0.311029,Industrials,73709,USD
Axcelis Technologies Inc.,ACLS,5454020,BD420Q8,0.111417,Information Technology,50639,USD
Agree Realty Corporation,ADC,849210,2062161,0.416639,Real Estate,82077,USD
ADTRAN Inc.,ADTN,00738A10,2052924,0.080189,Information Technology,73461,USD
Addus HomeCare Corporation,ADUS,673910,B55BN47,0.184635,Health Care,22713,USD
Aegion Corporation,AEGN,00770F10,B764L34,0.068536,Industrials,47546,USD
Advanced Energy Industries Inc.,AEIS,797310,2049175,0.444395,Information Technology,58384,USD
American Equity Investment Life Holding Company,AEL,2567620,2191300,0.294755,Financials,140039,USD
Assured Guaranty Ltd.,AGO,G0585R10,B00V7H8,0.309729,Financials,126538,USD
Agilysys Inc.,AGYS,00847J10,2689162,0.093931,Information Technology,30520,USD
Armada Hoffler Properties Inc.,AHH,04208T10,B96FTB5,0.074734,Real Estate,89525,USD
Albany International Corp. Class A,AIN,1234810,2012757,0.25788,Industrials,46639,USD
AAR CORP.,AIR,36110,2001119,0.132189,Industrials,50084,USD
Applied Industrial Technologies Inc.,AIT,03820C10,2086309,0.351888,Industrials,58905,USD
Aerojet Rocketdyne Holdings Inc.,AJRD,780010,BWD7PX9,0.377211,Industrials,111388,USD
Acadia Realty Trust,AKR,423910,2566522,0.147975,Real Estate,131359,USD
Alexander & Baldwin Inc.,ALEX,1449110,B827VB2,0.136735,Real Estate,109401,USD
Alamo Group Inc.,ALG,1131110,2021634,0.158164,Industrials,15090,USD
Allegiant Travel Company,ALGT,01748X10,B15M2C3,0.267211,Industrials,19714,USD
Alarm.com Holdings Inc.,ALRM,1164210,BYN7H26,0.409515,Information Technology,67803,USD
Ambac Financial Group Inc.,AMBC,2313988,B7ZKH46,0.096958,Financials,69818,USD
AMC Networks Inc. Class A,AMCX,00164V10,B4MG4Z6,0.112526,Communication Services,45072,USD
AMN Healthcare Services Inc.,AMN,174410,2813552,0.375422,Health Care,71309,USD
Amphastar Pharmaceuticals Inc,AMPH,03209R10,BNFWZS4,0.080442,Health Care,55477,USD
AMERISAFE Inc.,AMSF,03071H10,B0PPHS6,0.130927,Financials,29586,USD
American Woodmark Corporation,AMWD,3050610,2030674,0.18811,Industrials,25910,USD
Andersons Inc.,ANDE,3416410,2274922,0.082896,Consumer Staples,46456,USD
Abercrombie & Fitch Co. Class A,ANF,289620,2004185,0.151392,Consumer Discretionary,94315,USD
AngioDynamics Inc.,ANGO,03475V10,B00CR04,0.064056,Health Care,56746,USD
Anika Therapeutics Inc.,ANIK,3525510,2035754,0.062217,Health Care,21523,USD
ANI Pharmaceuticals Inc.,ANIP,00182C10,BCDWBX6,0.034482,Health Care,14850,USD
American Public Education Inc.,APEI,02913V10,B292GM4,0.056779,Consumer Discretionary,22588,USD
Apogee Enterprises Inc.,APOG,3759810,2046176,0.089001,Industrials,39916,USD
ArcBest Corporation,ARCB,03937C10,BLTFST7,0.133258,Industrials,38426,USD
Apollo Commercial Real Estate Finance Inc.,ARI,03762U10,B4JTYX6,0.181525,Financials,207060,USD
Arlo Technologies Inc.,ARLO,04206A10,BYWPZY9,0.075525,Information Technology,121838,USD
Arconic Corp.,ARNC,03966V10,BKLJ8S9,0.347029,Materials,147674,USD
Archrock Inc.,AROC,03957W10,BYRGSX7,0.13807,Energy,195138,USD
ARMOUR Residential REIT Inc.,ARR,4231550,BYRYKS0,0.083037,Financials,97212,USD
Advansix Inc.,ASIX,00773T10,BYMMZL7,0.064397,Materials,41964,USD
