Ticker,pct change,Sector,Industry,Full Time Emp,Year
STMP,63.12,Technology,Software-Application,1313.0,2020
UNFI,52.35,Consumer Defensive,Food Distribution,28300.0,2020
RYAM,52.25,Basic Materials,Chemicals,4000.0,2020
CENX,50.61,Basic Materials,Aluminum,2079.0,2020
TTEC,49.36,Technology,Information Technology Services,56200.0,2020
BRKS,49.15,Technology,Semiconductor Equipment & Materials,3159.0,2020
CLF,48.15,Basic Materials,Steel,2372.0,2020
FIZZ,47.93,Consumer Defensive,Beverages-Non-Alcoholic,1550.0,2020
ALRM,47.27,Technology,Software-Application,1361.0,2020
MSTR,46.8,Technology,Software-Application,2073.0,2020
UIS,46.12,Technology,Information Technology Services,20800.0,2020
VICR,45.8,Technology,Electronic Components,993.0,2020
BGS,44.92,Consumer Defensive,Packaged Foods,2952.0,2020
LTHM,43.75,Basic Materials,Specialty Chemicals,800.0,2020
FORM,42.33,Technology,Semiconductors,1836.0,2020
SPSC,41.75,Technology,Software-Infrastructure,1363.0,2020
BIG,40.68,Consumer Defensive,Discount Stores,10500.0,2020
KRA,40.68,Basic Materials,Specialty Chemicals,1944.0,2020
COHU,40.22,Technology,Semiconductor Equipment & Materials,3200.0,2020
EGHT,39.94,Technology,Software-Application,1675.0,2020
