Date,Open,High,Low,Close,Daily Volume,Ticker
2017-12-29,43.21,44.2,37.36,37.82,22456647.0,AAOI
2017-11-30,40.41,46.6,36.7,43.66,41787884.0,AAOI
2017-10-31,64.36,65.75,37.27,40.74,51894479.0,AAOI
2017-09-29,59.25,71.29,55.13,64.67,48266424.0,AAOI
2017-08-31,97.66,101.3,58.82,59.12,91368608.0,AAOI
2017-07-31,62.41,103.41,59.15,97.49,80914627.0,AAOI
2017-06-30,70.05,75.59,57.55,61.79,63415281.0,AAOI
2017-05-31,50.25,72.95,45.01,69.82,80980913.0,AAOI
2017-04-28,56.92,57.9,40.28,49.39,62845429.0,AAOI
2017-03-31,46.42,60.19,45.898,56.15,38694822.0,AAOI
2017-02-28,31.3,49.34,30.444000000000003,45.92,19473509.0,AAOI
2017-01-31,23.71,32.56,21.88,30.76,14280993.0,AAOI
2017-12-29,36.45,38.1,34.4,36.7,3190408.0,AAON
2017-11-30,35.25,36.95,33.25,36.45,2679726.0,AAON
2017-10-31,34.5,35.75,33.0373,35.0,2824844.0,AAON
2017-09-29,32.7,35.2,31.6001,34.475,2667776.0,AAON
2017-08-31,34.0,35.45,29.95,32.6,3317345.0,AAON
2017-07-31,37.0,37.8,33.25,33.8,2374122.0,AAON
2017-06-30,36.25,38.2,35.65,36.85,2624497.0,AAON
2017-05-31,36.7,37.7,35.3,36.175,2630984.0,AAON
2017-04-28,35.3,37.75,33.85,36.65,2437419.0,AAON
2017-03-31,34.1,37.1,34.1,35.35,4360000.0,AAON
2017-02-28,34.15,35.0,30.1,33.65,2995960.0,AAON
2017-01-31,33.45,35.05,31.963,33.95,2697273.0,AAON
2017-12-29,39.4,39.99,36.95,38.24,4093780.0,AAT
2017-11-30,37.25,39.97,36.791,39.36,6374530.0,AAT
2017-10-31,39.82,41.69,38.6,38.79,4403602.0,AAT
2017-09-29,40.6,41.37,39.24,39.77,4044845.0,AAT
2017-08-31,40.68,41.23,39.63,40.62,5014084.0,AAT
2017-07-31,39.39,40.78,37.97,40.61,3639251.0,AAT
2017-06-30,38.99,41.31,38.87,39.39,5398689.0,AAT
2017-05-31,43.02,43.3899,38.05,39.05,6340356.0,AAT
2017-04-28,41.79,44.83,41.19,42.83,5525807.0,AAT
2017-03-31,43.97,44.07,40.67,41.84,8034588.0,AAT
2017-02-28,42.75,44.79,41.97,44.0,3590924.0,AAT
2017-01-31,43.3,44.11,41.661,42.93,3744537.0,AAT
2017-12-29,57.95,60.9,55.9,58.65,3869032.0,AAWW
2017-11-30,61.95,62.63,51.91,57.75,6598848.0,AAWW
2017-10-31,65.85,68.69,60.7,61.35,4631423.0,AAWW
2017-09-29,66.8,68.7,64.95,65.8,4833479.0,AAWW
2017-08-31,59.6,67.75,59.1,66.8,8325236.0,AAWW
2017-07-31,52.2,59.65,51.75,59.4,8552623.0,AAWW
2017-06-30,48.75,54.2,48.65,52.15,6962130.0,AAWW
2017-05-31,58.3,59.0,45.45,48.7,9550321.0,AAWW
2017-04-28,55.4,60.1,53.15,58.0,2992611.0,AAWW
2017-03-31,57.7,59.6,50.15,55.45,4236656.0,AAWW
2017-02-28,53.2,58.0,50.5,56.85,3547031.0,AAWW
2017-01-31,52.2,54.9,49.95,52.75,3257702.0,AAWW
2017-12-29,49.65,51.15,46.2,48.2,4104250.0,ABCB
2017-11-30,48.3,51.3,44.75,49.6,3934322.0,ABCB
2017-10-31,48.0,51.275,47.3493,47.9,4156195.0,ABCB
2017-09-29,44.1,48.6,41.05,48.0,3738582.0,ABCB
2017-08-31,46.1,47.05,42.8,44.05,3378141.0,ABCB
2017-07-31,48.35,51.275,45.05,45.8,3190033.0,ABCB
2017-06-30,43.7,49.8,42.9,48.2,3705020.0,ABCB
2017-05-31,47.55,47.95,42.6,43.35,3399157.0,ABCB
2017-04-28,46.1,49.45,42.65,47.1,3448011.0,ABCB
2017-03-31,48.1,48.5,42.7,46.1,6971770.0,ABCB
2017-02-28,45.5,49.5,44.25,48.3,2694761.0,ABCB
2017-01-31,44.15,46.15,41.6,45.1,3643703.0,ABCB
2017-12-29,65.9,68.7,62.95,64.0,5011894.0,ABG
2017-11-30,61.25,68.3,59.95,65.8,4757121.0,ABG
2017-10-31,61.15,62.65,54.51,61.4,4808115.0,ABG
2017-09-29,53.95,62.1,53.55,61.1,3504285.0,ABG
2017-08-31,54.1,54.8,49.1,53.85,3735934.0,ABG
2017-07-31,57.15,58.4,52.2,54.0,5244174.0,ABG
2017-06-30,56.2,58.55,51.45,56.55,4916402.0,ABG
2017-05-31,61.8,62.7,52.5,55.95,5029214.0,ABG
2017-04-28,60.3,65.05,55.6,61.2,5309521.0,ABG
2017-03-31,66.0,66.9,59.25,60.1,6327874.0,ABG
2017-02-28,65.75,71.0,63.05,65.15,6232041.0,ABG
2017-01-31,62.7,68.0,61.1,65.6,4593860.0,ABG
2017-12-29,42.8,44.7,36.61,37.72,13241561.0,ABM
2017-11-30,42.08,42.86,39.3628,42.8,4653060.0,ABM
2017-10-31,41.72,43.59,41.623000000000005,41.97,5728804.0,ABM
2017-09-29,44.54,44.83,37.12,41.71,7465436.0,ABM
