,Ticker,pct change,Industry,Sector,FullTimeEmployees
0,FLGT,69.14728682170542,Healthcare,Diagnostics & Research,473
1,LPG,64.59948320413437,Energy,Oil & Gas Midstream,585
2,CUTR,59.89946942194918,Healthcare,Medical Devices,447
3,DBD,59.753787878787875,Technology,Software-Application,22000
4,SAFE,56.22828784119106,Real Estate,REIT-Diversified,0
5,PLMR,54.05030699148347,Financial Services,Insurance-Property & Casualty,77
6,FBM,52.76485788113695,Industrials,Industrial Distribution,3400
7,YETI,51.09258194364577,Consumer Cyclical,Leisure,790
8,SAH,50.645161290322584,Consumer Cyclical,Auto & Truck Dealerships,9300
9,UCTT,49.46740519812526,Technology,Semiconductor Equipment & Materials,3940
10,ZYXI,49.174078780177894,Healthcare,Medical Devices,283
11,BOOT,47.383786211542784,Consumer Cyclical,Apparel Retail,1100
12,UEIC,46.096440872560265,Technology,Consumer Electronics,4347
13,WGO,46.0173650434126,Consumer Cyclical,Recreational Vehicles,5505
14,PRFT,44.627740395051006,Technology,Information Technology Services,3454
15,TTGT,44.44444444444445,Communication Services,Internet Content & Information,649
16,NEO,43.179487179487175,Healthcare,Diagnostics & Research,1700
17,POWL,43.02918963053685,Industrials,Electrical Equipment & Parts,1997
18,IVC,43.01552106430155,Healthcare,Medical Devices,3900
19,KNSL,42.94707849695062,Financial Services,Insurance-Property & Casualty,275
20,FORM,42.16403542549095,Technology,Semiconductors,1836
21,HIBB,41.72610556348074,Consumer Cyclical,Specialty Retail,3500
22,SPXC,41.52908805031446,Industrials,Specialty Industrial Machinery,4500
23,UHT,40.59304703476483,Real Estate,REIT-Healthcare Facilities,0
24,KOP,40.371533228676086,Basic Materials,Specialty Chemicals,2120
25,DIOD,40.34060670569451,Technology,Semiconductors,6605
26,CIR,40.20328719723184,Industrials,Specialty Industrial Machinery,3200
27,CATM,39.37290033594625,Industrials,Business Equipment & Supplies,1987
28,RCII,39.32038834951456,Industrials,Rental & Leasing Services,14500
29,GPI,38.97,Consumer Cyclical,Auto & Truck Dealerships,15296
30,IBP,38.85581530419632,Industrials,Building Products & Equipment,8500
31,ICHR,38.17252780282537,Technology,Semiconductor Equipment & Materials,1355
32,ADUS,38.130014400329145,Healthcare,Medical Care Facilities,5002
33,PDFS,37.773830669034936,Technology,Software-Application,353
34,RCM,37.44221879815101,Healthcare,Health Information Services,19000
35,CNMD,37.0920146651167,Healthcare,Medical Devices,3300
36,ABG,36.8011450040254,Consumer Cyclical,Auto & Truck Dealerships,8500
37,TALO,36.65008291873963,Energy,Oil & Gas E&P,440
38,LPSN,36.56756756756757,Technology,Software-Application,1213
39,EHTH,36.34471273938385,Financial Services,Insurance Brokers,1500
40,CRMT,36.20280868137881,Consumer Cyclical,Auto & Truck Dealerships,1750
41,CSII,35.93331961308912,Healthcare,Medical Devices,779
42,EPRT,35.91293833131801,Real Estate,REIT-Diversified,27
43,BKE,35.76183431952662,Consumer Cyclical,Apparel Retail,2800
44,SAIA,35.59922680412372,Industrials,Trucking,10400
45,CASH,35.49712407559572,Financial Services,Banks-Regional,1015
46,UFPI,35.387840670859546,Basic Materials,Lumber & Wood Production,12000
47,ITRI,34.92555092316855,Technology,Scientific & Technical Instruments,6700
48,NSIT,34.67065016360792,Technology,Information Technology Services,11261
49,SGH,34.607274644175014,Technology,Semiconductors,1754
50,MEI,34.561626429479034,Technology,Electronic Components,6044
51,RMBS,34.51905626134302,Technology,Semiconductors,685
52,ACA,33.93939393939394,Industrials,Infrastructure Operations,6275
53,STAR,33.90764989662302,Real Estate,REIT-Diversified,155
54,SLP,33.74613003095975,Healthcare,Health Information Services,129
55,CYTK,33.74175306314797,Healthcare,Biotechnology,156
56,NMIH,33.694996986136225,Financial Services,Insurance-Property & Casualty,261
57,LMAT,33.68567454798331,Healthcare,Medical Instruments & Supplies,454
58,CNXN,33.286347160692706,Technology,Electronics & Computer Distribution,2609
59,POWI,33.27267212617531,Technology,Semiconductors,699
60,KTB,33.26982614908312,Consumer Cyclical,Apparel Manufacturing,15100
61,VECO,33.19713993871297,Technology,Semiconductor Equipment & Materials,954
62,SEM,33.07626392459297,Healthcare,Medical Care Facilities,35700
63,DGII,33.06997742663656,Technology,Communication Equipment,656
64,AMWD,33.068605875035885,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9900
65,FLOW,32.94454675670144,Industrials,Specialty Industrial Machinery,5000
66,RDNT,32.758620689655174,Healthcare,Diagnostics & Research,6165
67,MHO,32.68106734434562,Consumer Cyclical,Residential Construction,1401
68,HLIT,32.179487179487175,Technology,Communication Equipment,1162
69,PLAB,32.17005076142132,Technology,Semiconductor Equipment & Materials,1728
70,IOSP,32.06689868522815,Basic Materials,Specialty Chemicals,2000
71,FSS,31.844961240310077,Industrials,Pollution & Treatment Controls,3600
72,UNF,31.4635112387365,Industrials,Specialty Business Services,14000
