Ticker,pct change,Sector,Industry,Full Time Emp,Year
TRST,-21.068702290076335,Financial Services,Banks-Regional,771.0,2020
LNTH,-22.791023842917262,Healthcare,Diagnostics & Research,508.0,2020
EPRT,-30.174446016030167,Real Estate,REIT-Diversified,27.0,2020
MDC,14.384396586753349,Consumer Cyclical,Residential Construction,1656.0,2020
VRA,-22.978177150192554,Consumer Cyclical,Footwear & Accessories,2700.0,2020
FORR,2.9784240150093884,Industrials,Consulting Services,1823.0,2020
GTLS,47.158903204492894,Industrials,Specialty Industrial Machinery,5743.0,2020
MOV,0.7492795389049138,Consumer Cyclical,Luxury Goods,1145.0,2020
RPT,-58.70307167235496,Real Estate,REIT-Retail,104.0,2020
AVA,-27.828054298642535,Utilities,Utilities-Diversified,1920.0,2020
ZYXI,27.086494688922613,Healthcare,Medical Devices,283.0,2020
SWM,15.058195926285162,Basic Materials,Paper & Paper Products,3400.0,2020
MXL,38.16624365482234,Technology,Semiconductors,697.0,2020
VIVO,50.82458770614693,Healthcare,Diagnostics & Research,0.0,2020
MTH,16.664709336465076,Consumer Cyclical,Residential Construction,1510.0,2020
LGIH,25.892193308550187,Consumer Cyclical,Residential Construction,953.0,2020
KNSL,52.43211727469599,Financial Services,Insurance-Property & Casualty,275.0,2020
LTHM,43.75373580394501,Basic Materials,Specialty Chemicals,800.0,2020
WD,26.848892317866195,Financial Services,Mortgage Finance,861.0,2020
CMTL,-60.968819599109125,Technology,Communication Equipment,2034.0,2020
ZEUS,7.836990595611286,Basic Materials,Steel,1551.0,2020
VVI,-92.42155121373592,Industrials,Specialty Business Services,5361.0,2020
ARI,-55.44217687074832,Real Estate,REIT-Mortgage,0.0,2020
NTUS,-53.83480825958702,Healthcare,Medical Devices,1484.0,2020
LXP,0.0,Real Estate,REIT-Diversified,57.0,2020
KELYA,17.04810836057916,Industrials,Staffing & Employment Services,7700.0,2020
FBC,7.311941083640192,Financial Services,Banks-Regional,4871.0,2020
